t,y
0,0
1,294
2,588
3,882
4,1176
5,1470
6,1764
7,2058
8,2352
9,2645
10,2939
11,3232
12,3525
13,3817
14,4110
15,4402
16,4694
17,4985
18,5276
19,5567
20,5858
21,6148
22,6438
23,6727
24,7016
25,7304
26,7592
27,7879
28,8166
29,8452
30,8738
31,9023
32,9307
33,9591
34,9875
35,10157
36,10439
37,10720
38,11001
39,11281
40,11560
41,11838
42,12115
43,12392
44,12668
45,12943
46,13217
47,13490
48,13763
49,14034
50,14305
51,14574
52,14843
53,15111
54,15377
55,15643
56,15908
57,16171
58,16434
59,16695
60,16956
61,17215
62,17473
63,17730
64,17986
65,18241
66,18494
67,18747
68,18998
69,19248
70,19496
71,19744
72,19990
73,20235
74,20478
75,20721
76,20961
77,21201
78,21439
79,21676
80,21912
81,22146
82,22378
83,22610
84,22840
85,23068
86,23295
87,23520
88,23744
89,23967
90,24188
91,24408
92,24626
93,24842
94,25057
95,25270
96,25482
97,25692
98,25901
99,26108
100,26314
101,26518
102,26720
103,26920
104,27119
105,27317
106,27512
107,27706
108,27899
109,28089
110,28278
111,28466
112,28651
113,28835
114,29017
115,29198
116,29377
117,29554
118,29729
119,29902
120,30074
121,30244
122,30412
123,30579
124,30743
125,30906
126,31068
127,31227
128,31384
129,31540
130,31694
131,31846
132,31997
133,32145
134,32292
135,32437
136,32580
137,32721
138,-32675
139,-32537
140,-32402
141,-32268
142,-32135
143,-32005
144,-31876
145,-31750
146,-31625
147,-31502
148,-31381
149,-31261
150,-31144
151,-31028
152,-30914
153,-30802
154,-30692
155,-30583
156,-30476
157,-30372
158,-30269
159,-30167
160,-30068
161,-29971
162,-29875
163,-29781
164,-29689
165,-29598
166,-29510
167,-29423
168,-29338
169,-29255
170,-29174
171,-29094
172,-29016
173,-28940
174,-28866
175,-28793
176,-28723
177,-28654
178,-28586
179,-28521
180,-28457
181,-28395
182,-28334
183,-28276
184,-28219
185,-28163
186,-28110
187,-28058
188,-28008
189,-27959
190,-27912
191,-27867
192,-27823
193,-27781
194,-27741
195,-27702
196,-27665
197,-27630
198,-27596
199,-27563
200,-27533
201,-27503
202,-27476
203,-27450
204,-27425
205,-27402
206,-27381
207,-27361
208,-27342
209,-27325
