t,sin(2*pi*f*t)
0,0
1,2052
2,4097
3,6126
4,8130
5,10103
6,12036
7,13921
8,15752
9,17521
10,19222
11,20846
12,22389
13,23844
14,25205
15,26467
16,27625
17,28675
18,29612
19,30433
20,31134
21,31713
22,32167
23,32494
24,32695
25,32766
26,32709
27,32524
28,32210
29,31770
30,31206
31,30518
32,29711
33,28787
34,27750
35,26604
36,25354
37,24004
38,22559
39,21026
40,19410
41,17718
42,15957
43,14132
44,12253
45,10325
46,8356
47,6355
48,4329
49,2285
50,233
51,-1819
52,-3865
53,-5896
54,-7904
55,-9881
56,-11818
57,-13710
58,-15547
59,-17324
60,-19032
61,-20666
62,-22218
63,-23683
64,-25055
65,-26329
66,-27499
67,-28561
68,-29511
69,-30345
70,-31060
71,-31653
72,-32121
73,-32464
74,-32678
75,-32765
76,-32722
77,-32551
78,-32252
79,-31827
80,-31276
81,-30603
82,-29809
83,-28898
84,-27874
85,-26740
86,-25501
87,-24162
88,-22728
89,-21204
90,-19598
91,-17914
92,-16160
93,-14343
94,-12469
95,-10546
96,-8582
97,-6584
98,-4560
99,-2518
100,-466
101,1586
102,3633
103,5666
104,7677
105,9658
106,11600
107,13497
108,15341
109,17125
110,18842
111,20484
112,22046
113,23521
114,24904
115,26189
116,27372
117,28446
118,29409
119,30257
120,30985
121,31592
122,32075
123,32431
124,32660
125,32761
126,32734
127,32577
128,32293
129,31881
130,31345
131,30685
132,29905
133,29007
134,27996
135,26874
136,25647
137,24319
138,22895
139,21382
140,19784
141,18109
142,16363
143,14552
144,12684
145,10767
146,8807
147,6812
148,4791
149,2751
150,700
151,-1353
152,-3401
153,-5436
154,-7450
155,-9434
156,-11382
157,-13284
158,-15135
159,-16926
160,-18650
161,-20301
162,-21873
163,-23358
164,-24752
165,-26049
166,-27243
167,-28330
168,-29306
169,-30166
170,-30908
171,-31529
172,-32026
173,-32397
174,-32641
175,-32756
176,-32743
177,-32601
178,-32331
179,-31935
180,-31412
181,-30766
182,-30000
183,-29115
184,-28116
185,-27007
186,-25791
187,-24475
188,-23062
189,-21558
190,-19970
191,-18303
192,-16565
193,-14761
194,-12899
195,-10987
196,-9031
197,-7040
198,-5022
199,-2983
200,-933
201,1120
202,3169
203,5206
204,7223
205,9211
206,11163
207,13071
208,14927
209,16725
210,18458
211,20118
212,21698
213,23194
214,24598
215,25906
216,27112
217,28212
218,29200
219,30074
220,30830
221,31465
222,31976
223,32361
224,32620
225,32750
226,32751
227,32624
228,32369
229,31986
230,31478
231,30846
232,30093
233,29222
234,28235
235,27138
236,25935
237,24629
238,23227
239,21733
240,20154
241,18496
242,16766
243,14969
244,13113
245,11206
246,9255
247,7268
248,5252
249,3216
250,1166
251,-886
252,-2937
253,-4975
254,-6995
255,-8986
256,-10943
257,-12856
258,-14719
259,-16524
260,-18264
261,-19933
262,-21523
263,-23029
264,-24444
265,-25763
266,-26980
267,-28092
268,-29094
269,-29981
270,-30750
271,-31399
272,-31924
273,-32324
274,-32597
275,-32741
276,-32757
277,-32645
278,-32404
279,-32036
280,-31542
281,-30924
282,-30184
283,-29326
284,-28353
285,-27269
286,-26077
287,-24783
288,-23391
289,-21908
290,-20338
291,-18689
292,-16966
293,-15176
294,-13327
295,-11426
296,-9479
297,-7496
298,-5482
299,-3448
300,-1400
301,653
302,2704
303,4745
304,6766
305,8762
306,10723
307,12641
308,14510
309,16322
310,18070
311,19747
312,21346
313,22862
314,24288
315,25618
316,26847
317,27971
318,28986
319,29886
320,30669
321,31331
322,31871
323,32285
324,32572
325,32731
326,32762
327,32664
328,32438
329,32084
330,31604
331,31000
332,30274
333,29430
334,28469
335,27397
336,26217
337,24935
338,23554
339,22081
340,20521
341,18880
342,17165
343,15383
344,13540
345,11644
346,9702
347,7723
348,5712
349,3680
350,1633
351,-420
352,-2471
353,-4514
354,-6538
355,-8537
356,-10502
357,-12426
358,-14301
359,-16120
360,-17875
361,-19560
362,-21169
363,-22694
364,-24130
365,-25472
366,-26713
367,-27849
368,-28876
369,-29790
370,-30586
371,-31262
372,-31816
373,-32244
374,-32546
375,-32720
376,-32765
377,-32682
378,-32470
379,-32131
380,-31665
381,-31075
382,-30363
383,-29532
384,-28584
385,-27525
386,-26357
387,-25085
388,-23716
389,-22252
390,-20702
391,-19070
392,-17363
393,-15588
394,-13752
395,-11862
396,-9925
397,-7949
398,-5942
399,-3912
400,-1866
401,186
402,2239
403,4282
404,6309
405,8311
406,10280
407,12209
408,14090
409,15916
410,17679
411,19373
412,20990
413,22525
414,23972
415,25324
416,26577
417,27725
418,28765
419,29692
420,30501
421,31191
422,31759
423,32202
424,32518
425,32706
426,32766
427,32698
428,32500
429,32176
430,31724
431,31148
432,30450
433,29632
434,28698
435,27651
436,26495
437,25235
438,23876
439,22423
440,20882
441,19259
442,17561
443,15793
444,13964
445,12079
446,10147
447,8175
448,6172
449,4143
450,2099
451,46
452,-2006
453,-4051
454,-6080
455,-8085
456,-10058
457,-11992
458,-13879
459,-15711
460,-17482
461,-19184
462,-20810
463,-22355
464,-23812
465,-25175
466,-26440
467,-27600
468,-28653
469,-29592
470,-30415
471,-31119
472,-31701
473,-32158
474,-32488
475,-32691
476,-32766
477,-32712
478,-32529
479,-32219
480,-31782
481,-31220
482,-30535
483,-29731
484,-28810
485,-27775
486,-26631
487,-25383
488,-24035
489,-22593
490,-21062
491,-19448
492,-17758
493,-15997
494,-14174
495,-12296
496,-10369
497,-8401
498,-6401
499,-4375
500,-2332
501,-280
502,1773
503,3819
504,5850
505,7859
506,9836
507,11775
508,13667
509,15506
510,17284
511,18994
512,20630
513,22184
514,23651
515,25025
516,26301
517,27474
518,28539
519,29491
520,30328
521,31045
522,31641
523,32112
524,32457
525,32675
526,32764
527,32725
528,32557
529,32261
530,31838
531,31290
532,30619
533,29828
534,28920
535,27898
536,26767
537,25530
538,24193
539,22761
540,21240
541,19635
542,17953
543,16201
544,14385
545,12512
546,10590
547,8627
548,6629
549,4606
550,2565
551,513
552,-1540
553,-3587
554,-5620
555,-7632
556,-9613
557,-11557
558,-13455
559,-15300
560,-17085
561,-18803
562,-20448
563,-22011
564,-23489
565,-24874
566,-26161
567,-27346
568,-28423
569,-29389
570,-30239
571,-30970
572,-31579
573,-32065
574,-32424
575,-32657
576,-32760
577,-32736
578,-32582
579,-32301
580,-31892
581,-31359
582,-30702
583,-29924
584,-29029
585,-28020
586,-26901
587,-25676
588,-24350
589,-22929
590,-21417
591,-19822
592,-18148
593,-16403
594,-14594
595,-12727
596,-10811
597,-8852
598,-6858
599,-4837
600,-2797
601,-746
602,1306
603,3355
604,5390
605,7405
606,9390
607,11338
608,13242
609,15093
610,16886
611,18612
612,20265
613,21838
614,23326
615,24721
616,26020
617,27217
618,28306
619,29285
620,30148
621,30893
622,31516
623,32016
624,32390
625,32637
626,32755
627,32745
628,32606
629,32339
630,31945
631,31425
632,30782
633,30018
634,29137
635,28140
636,27033
637,25820
638,24506
639,23095
640,21593
641,20007
642,18342
643,16605
644,14803
